"Sample","Region","Years","ACE2","ADAM17","ANPEP","AXL","CD209","CEACAM1","CLEC4G","CLEC4M","CTSL1","DPP4","ENPEP","FURIN","ITGA2B","ITGA3","ITGA5","ITGA8","ITGAL","ITGAM","ITGAV","ITGB1","ITGB2","ITGB3","ITGB6","ITGB8","NRP1","NRP2","SCARB1","TMPRSS2"
"HSB187_STR_R","STR",37.7692307692308,"4.24111","6.63426","6.24861","7.71706","4.44422","4.29505","5.02602","3.51151","7.94324","3.79897","4.43392","7.65005","4.64243","6.57866","5.97575","4.75863","5.19149","4.57277","9.4374","8.96983","7.34097","4.76514","3.91847","9.97521","6.40412","5.79241","8.45014","3.90643"
"HSB187_V1C_L","V1C",37.7692307692308,"4.20818","6.70644","6.71969","8.09138","4.23238","4.57222","5.16951","3.87859","7.62915","5.50564","4.27799","7.36369","5.04726","6.57286","6.09153","4.84824","4.70111","4.61778","9.54784","9.03169","6.37414","4.59866","4.09156","9.78753","6.73998","5.68869","7.11828","4.02124"
"HSB187_V1C_R","V1C",37.7692307692308,"3.67252","7.10066","6.1662","7.85311","4.11398","4.0938","5.28046","3.4643","8.59484","5.43044","4.20645","7.92171","4.86573","6.7405","5.97092","5.18519","4.55343","5.06744","9.18943","8.53287","6.55394","4.49954","3.88478","9.50808","7.61041","5.60656","7.44174","4.13632"
"HSB187_VFC_L","VFC",37.7692307692308,"3.9413","6.29715","6.0385","7.79508","4.13287","4.40054","5.83808","3.66856","7.43041","4.18853","4.05837","7.80481","4.33245","6.96551","5.96651","5.44818","4.69399","4.67227","9.20756","8.40452","6.96206","4.10742","4.04594","9.65268","7.61715","5.9797","6.99105","3.99004"
"HSB187_VFC_R","VFC",37.7692307692308,"3.7511","6.28041","5.88805","7.86591","4.01367","4.19087","5.33362","3.61426","7.96351","4.32622","4.5904","7.89706","4.34568","6.76748","5.65547","5.44735","4.73019","4.81094","9.02831","8.09281","6.69598","4.10815","4.09194","10.0436","7.63121","5.62463","7.33485","3.93559"
"HSB194_A1C_L","A1C",0.7115,"3.91895","6.1335","5.65905","6.52182","4.10991","4.21199","5.33875","4.18864","7.99582","4.62058","4.32548","7.23704","4.87089","7.08206","6.90168","6.92644","4.63552","4.85693","8.25361","8.25103","6.98099","4.95268","4.0362","8.00064","8.42939","5.43519","7.47037","4.49115"
"HSB194_A1C_R","A1C",0.7115,"4.14713","5.84132","6.1947","7.08472","5.042","4.71612","5.40611","3.69162","7.71287","4.86071","4.49294","7.54434","4.89985","6.95604","6.70247","6.37411","5.25451","5.34684","7.91842","8.31556","7.94812","5.0791","4.49034","7.93471","8.71995","5.54984","7.61098","4.89177"
"HSB194_AMY_L","AMY",0.7115,"4.0044","6.3974","5.56777","7.66333","4.0522","4.63679","5.54489","3.93582","7.83815","4.17724","4.53139","7.27486","4.68355","6.7248","6.93069","5.86068","4.84816","4.87126","8.82857","9.15572","7.44604","4.67293","4.49618","8.98727","8.50088","6.91584","7.44047","4.41082"
"HSB194_AMY_R","AMY",0.7115,"4.4224","6.27879","5.7664","6.75528","4.31748","4.7171","5.44145","3.51947","7.55016","4.12952","4.32185","7.26312","4.97098","6.65424","6.57607","5.9309","5.30288","5.06549","8.51868","8.01965","7.24514","4.83589","4.69616","8.77595","8.47188","6.98215","6.6554","4.72988"
"HSB194_CBC_L","CBC",0.7115,"3.73362","6.70733","5.7154","7.59025","5.34134","3.98479","5.49445","3.37003","7.64818","3.96153","5.10884","7.37791","4.94677","6.3553","8.02213","6.32365","4.59937","4.90021","8.97904","9.67726","7.23534","4.25001","5.79","6.97702","8.1156","5.7386","7.36518","4.22492"
"HSB194_CBC_R","CBC",0.7115,"4.17234","6.80863","5.95349","7.60905","5.44912","4.53807","5.58845","3.48353","6.94039","4.11182","5.22442","7.26978","5.29827","6.02941","7.96425","5.89969","4.61662","4.81802","8.9945","10.1232","6.93682","4.32727","5.44188","7.95199","7.95265","6.23931","7.24269","4.50198"
"HSB194_DFC_L","DFC",0.7115,"3.78017","6.42584","6.01736","7.10063","4.5234","3.64317","5.47605","3.43635","7.48224","4.78346","4.53752","7.3753","4.33874","7.35067","7.31717","5.94625","4.74284","4.8329","8.2458","9.00724","7.43128","4.9253","3.83092","7.65988","8.87604","6.08294","8.13619","4.24653"
"HSB194_DFC_R","DFC",0.7115,"3.73744","5.97319","6.01439","6.85688","5.20793","4.47983","5.66033","3.50281","7.58075","4.66027","4.75401","7.5951","4.83619","7.52203","7.22379","6.06858","4.66669","4.67277","7.71517","9.0384","7.06485","4.63355","3.88125","7.89663","9.0171","5.8361","7.95602","4.37842"
"HSB194_HIP_R","HIP",0.7115,"4.0337","6.81725","5.56347","8.28335","4.51926","4.49265","5.24625","3.73728","7.73777","4.47812","4.99435","7.56421","4.80885","6.56167","7.37282","6.20741","5.37062","5.34211","9.39671","9.79666","7.98028","4.43399","4.13583","9.1122","10.5548","7.77335","8.14547","4.56291"
"HSB194_IPC_L","IPC",0.7115,"4.00372","5.72498","5.59685","6.80786","4.25375","4.8589","5.67363","3.78305","7.52443","4.34155","4.48805","7.56658","4.86748","7.25809","6.92844","6.5396","4.7143","4.54765","7.95712","8.47867","7.18801","4.64913","3.82977","7.39041","9.02945","5.83799","7.68971","4.41481"
"HSB194_IPC_R","IPC",0.7115,"4.28197","6.07851","5.87163","7.20071","4.37161","4.3284","5.59919","4.09025","7.59245","4.56244","4.65985","7.70026","4.94205","7.0603","6.65384","6.3426","5.20607","5.02106","8.1846","8.02467","6.97792","4.82819","4.35299","7.88299","8.3827","5.78842","7.45086","4.52679"
"HSB194_ITC_L","ITC",0.7115,"3.94905","5.71419","5.76007","6.97927","4.51226","4.62922","5.15304","3.61299","7.39041","4.31869","4.48495","7.23391","4.56332","7.25027","7.46512","6.17048","4.76478","4.46337","8.0617","8.24892","7.00659","4.71043","3.9754","7.11491","9.07973","5.96054","7.30241","4.19062"
"HSB194_ITC_R","ITC",0.7115,"3.88227","5.95472","6.2787","6.57476","4.92138","4.53673","5.41283","3.59019","6.54458","4.29977","4.28275","7.30748","4.8507","7.26755","7.12889","6.39486","4.57227","4.48897","7.60731","8.31607","6.29995","4.33007","4.17127","7.81697","8.99995","6.08201","7.48018","4.57951"
"HSB194_M1C_L","M1C",0.7115,"4.13079","6.06623","5.68533","7.18348","4.75171","4.47699","5.52959","4.11635","7.28139","4.61746","4.49156","7.24887","4.98004","6.98558","7.6069","6.60424","4.84761","4.67646","8.45351","9.24671","6.87307","4.84263","4.64447","8.26642","8.71483","6.11332","7.52445","4.62661"
"HSB194_M1C_R","M1C",0.7115,"4.12233","5.96414","6.17132","7.41398","4.65274","4.6932","5.84088","3.80474","7.06673","4.77502","4.79644","7.23389","4.69695","7.40779","6.99975","5.90754","4.7547","4.66253","8.23063","8.607","6.98593","4.54494","4.02205","8.78498","8.73726","5.7888","7.81132","4.67899"
"HSB194_MD_L","MD",0.7115,"3.84945","6.47812","5.83578","7.81224","4.76908","4.14229","4.97251","3.84361","8.79511","4.09304","4.89515","6.8746","5.05947","6.94432","8.00926","7.44233","4.76436","5.15251","9.43991","9.57547","7.37217","4.43103","3.89261","9.57222","8.56106","6.13515","7.10535","4.2584"
